Date,Rachel / Papineau,Berri1,Maisonneuve_1,Maisonneuve_2,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier,Totem_Laurier,Notre-Dame,Rachel / Hôtel de Ville,Saint-Antoine,René-Lévesque,Viger,Boyer,Maisonneuve_3,University
2013-01-01,1,0,1,0,,6,0,0,,,,,,,,,,
2013-01-02,2,69,13,0,,18,0,0,,,,,,,,,,
2013-01-03,0,69,21,6,,22,1,2,,,,,,,,,,
2013-01-04,125,80,22,4,,16,0,0,,,,,,,,,,
2013-01-05,97,52,19,3,,12,0,4,,,,,,,,,,
2013-01-06,47,37,23,46,,8,0,0,,,,,,,,,,
2013-01-07,200,159,81,211,,60,0,0,,,,,,,,,,
2013-01-08,335,327,156,393,,66,0,0,,,,,,,,,,
2013-01-09,366,332,155,446,,84,0,0,,,,,,,,,,
2013-01-10,463,391,232,516,,88,0,0,,,,,,,,,,
2013-01-11,407,423,199,464,,132,0,0,,,,,,,,,,
2013-01-12,264,182,138,229,,82,0,0,,,,,,,,,,
2013-01-13,215,111,74,179,,89,0,3,,,,,,,,,,
2013-01-14,565,490,349,752,,400,0,58,,,,,,,,,,
2013-01-15,658,581,365,771,,383,0,70,,,,,,,,,,
2013-01-16,553,553,360,778,,410,0,78,,,,,,,,,,
2013-01-17,423,326,187,463,,206,1,28,,,,,,,,,,
2013-01-18,315,281,189,366,,205,0,12,,,,,,,,,,
2013-01-19,91,49,26,104,,24,0,0,,,,,,,,,,
2013-01-20,74,50,39,57,,26,6,0,,,,,,,,,,
2013-01-21,235,143,77,301,,127,0,7,,,,,,,,,,
2013-01-22,257,154,108,307,,110,0,4,,,,,,,,,,
2013-01-23,163,111,67,231,,71,1,7,,,,,,,,,,
2013-01-24,189,128,76,246,,83,1,5,,,,,,,,,,
2013-01-25,217,139,81,250,,87,2,3,,,,,,,,,,
2013-01-26,119,40,44,108,,43,0,0,,,,,,,,,,
2013-01-27,90,48,50,108,,50,0,1,,,,,,,,,,
2013-01-28,265,198,132,339,,141,4,6,,,,,,,,,,
2013-01-29,294,218,135,312,,111,5,0,,,,,,,,,,
2013-01-30,336,284,202,403,,185,4,3,,,,,,,,,,
2013-01-31,295,237,152,395,,135,0,33,,,,,,,,,,
2013-02-01,294,233,179,325,,159,11,24,,,,,,,,,,
2013-02-02,155,82,51,103,,55,1,10,,,,,,,,,,
2013-02-03,128,85,51,91,,27,9,4,,,,,,,,,,
2013-02-04,325,234,137,389,,163,4,6,,,,,,,,,,
2013-02-05,327,295,172,407,,188,5,8,,,,,,,,,,
2013-02-06,379,325,196,447,,244,13,9,,,,,,,,,,
2013-02-07,328,234,162,403,,192,3,7,,,,,,,,,,
2013-02-08,138,148,71,212,,43,2,0,,,,,,,,,,
2013-02-09,113,58,59,81,,44,0,0,,,,,,,,,,
2013-02-10,146,82,61,128,,45,0,0,,,,,,,,,,
2013-02-11,274,225,135,341,,150,3,2,,,,,,,,,,
2013-02-12,392,342,181,446,,188,5,0,,,,,,,,,,
2013-02-13,441,363,239,540,,220,7,0,,94,,,,,,,,
2013-02-14,472,440,290,567,,234,19,3,,216,,,,,,,,
2013-02-15,373,301,208,480,,180,7,0,,137,,,,,,,,
2013-02-16,252,156,120,215,,106,11,2,,107,,,,,,,,
2013-02-17,184,118,65,152,,66,10,0,,82,,,,,,,,
2013-02-18,359,265,177,407,,205,4,1,,134,,,,,,,,
2013-02-19,437,403,236,451,,252,7,3,,204,,,,,,,,
2013-02-20,174,162,73,164,,82,0,0,,143,,,,,,,,
2013-02-21,200,160,94,224,,66,4,0,,144,,,,,,,,
2013-02-22,330,259,162,328,,135,0,1,,223,,,,,,,,
2013-02-23,131,110,81,103,,34,3,0,,99,,,,,,,,
2013-02-24,144,75,85,128,,53,2,1,,120,,,,,,,,
2013-02-25,410,284,212,455,,205,1,0,,391,,,,,,,,
2013-02-26,522,411,290,565,,262,6,1,,432,,,,,,,,
2013-02-27,351,297,178,405,,162,4,2,,340,,,,,,,,
2013-02-28,283,205,138,339,,126,6,0,,306,,,,,,,,
2013-03-01,395,291,221,442,,172,12,1,,351,,,,,,,,
2013-03-02,238,169,111,184,,79,12,1,,209,,,,,,,,
2013-03-03,133,119,74,101,,46,1,0,,87,,,,,,,,
2013-03-04,357,252,149,420,,135,4,1,,249,,,,,,,,
2013-03-05,400,484,312,577,,171,11,2,,229,,,,,,,,
2013-03-06,539,475,290,636,,222,16,6,,457,,,,,,,,
2013-03-07,562,484,295,572,,267,16,7,,454,,,,,,,,
2013-03-08,621,536,387,772,,300,26,12,,553,,,,,,,,
2013-03-09,671,415,311,569,,252,98,24,,543,,,,,,,,
2013-03-10,550,345,204,463,,234,67,43,,488,,,,,,,,
2013-03-11,883,669,430,1092,,622,50,227,,700,,,,,,,,
2013-03-12,595,478,327,663,,407,20,153,,649,,,,,,,,
2013-03-13,946,831,547,1197,,654,46,360,,696,,,,,,,,
2013-03-14,647,523,320,722,,422,10,178,,519,,,,,,,,
2013-03-15,651,542,415,714,,389,15,196,,607,,,,,,,,
2013-03-16,420,243,175,355,,210,41,103,,418,,,,,,,,
2013-03-17,430,232,193,440,,185,28,114,,398,,,0,,,,,
2013-03-18,703,511,366,802,,491,29,273,,603,,,0,,,,,
2013-03-19,101,107,69,163,,45,5,5,,228,,,0,,,,,
2013-03-20,235,217,128,301,,77,4,1,,220,,,0,,,,,
2013-03-21,422,392,193,476,,189,6,0,,344,,,0,,,,,
2013-03-22,451,398,256,549,,235,10,0,,338,,,0,,,,,
2013-03-23,326,209,161,361,,179,24,30,,320,,,0,,,,,
2013-03-24,402,299,219,379,,174,57,88,,298,,,0,,,,,
2013-03-25,747,675,452,1038,,548,32,326,,668,,,0,,,,,
2013-03-26,1023,957,664,1455,,748,70,479,,758,,,0,,,,,
2013-03-27,587,856,626,1309,,762,105,549,,700,,,0,,,,,
2013-03-28,786,1088,707,1512,,906,156,590,,978,,,0,,,,,
2013-03-29,641,749,503,963,,554,153,377,,757,,,0,,,,,
2013-03-30,1264,822,509,1101,,568,449,443,,961,,,0,,,,,
2013-03-31,2730,599,311,693,,399,321,380,,647,,,0,,,,,
2013-04-01,2315,371,276,608,,343,66,245,,524,,,0,,,,,
2013-04-02,2835,1055,669,1316,,840,105,547,,818,,,0,,,,,
2013-04-03,3085,1030,719,1470,,869,119,614,,947,,,0,,,,,
2013-04-04,2492,1466,1027,2022,,1243,261,855,,1147,,,0,,,,,
2013-04-05,2553,1098,723,1384,,761,145,543,,995,,,0,,,,,
2013-04-06,1263,771,506,1015,,602,335,414,,965,,,0,,,,,
2013-04-07,936,509,337,749,,447,158,375,,701,,,0,,,,,
2013-04-08,1412,1878,1225,2414,,1563,568,1170,,1356,,,0,,,,,
2013-04-09,1435,1335,886,1734,,1146,213,783,,1160,,,0,,,,,
2013-04-10,773,1967,1328,2536,,1649,452,1230,,1450,,,0,,,,,
2013-04-11,1178,1814,1183,2283,,1424,323,994,,1286,,,0,,,,,
2013-04-12,1523,420,270,519,,227,22,141,,447,,,0,,,,,
2013-04-13,1602,265,172,328,,176,36,10,,435,,,0,,,,,
2013-04-14,1332,889,495,963,,588,437,317,,818,,,0,,,,,
2013-04-15,2359,2862,1810,3321,,2051,830,1420,,1819,,,0,,,,,
2013-04-16,2696,1279,934,1767,,1110,159,647,,1129,,,0,,,,,
2013-04-17,2479,3486,2415,4196,,2431,1157,1861,,2325,,,0,,,,,
2013-04-18,2694,2251,1653,2959,,1726,324,1123,,1659,,,0,,,,,
2013-04-19,2366,3109,2170,3809,,2144,903,1521,,2033,,,0,,,,,
2013-04-20,1802,987,635,1203,,689,294,504,,1053,,,0,,,,,
2013-04-21,1776,1847,1271,1733,,1038,818,808,,1246,,,0,,,,,
2013-04-22,1242,3328,2221,4060,,2401,1063,1720,,2124,,,0,,,,,
2013-04-23,2339,3722,2442,4346,,2569,1186,1953,,2486,,,0,,,,,
2013-04-24,3560,3782,2579,4565,,2579,1150,2021,,2270,,,0,,,,,
2013-04-25,3406,3002,2182,3914,,2319,622,1610,,2193,,,0,,,,,
2013-04-26,3369,2865,2125,3657,,2197,765,1406,,2087,,,0,,,,,
2013-04-27,3944,2840,1812,3151,,1511,1663,1155,,2331,,,0,,,,,
2013-04-28,4915,3736,1917,3327,,2012,3218,1536,,2609,,,0,,,,,
2013-04-29,4473,4149,2742,4951,,2843,1416,2039,,2734,,,0,,,,,
2013-04-30,4928,4671,3163,5312,,3082,1632,2262,,2970,,,0,,,,,
2013-05-01,6338,5803,4121,6797,,3672,2819,2946,,3565,,,0,,,,,
2013-05-02,5902,5849,4136,7176,,3732,1900,2829,,3551,,,0,,,,,
2013-05-03,6533,5769,4156,7000,,3508,2135,2520,,3724,,,0,,,,,
2013-05-04,5821,4628,2690,4795,,2176,3009,1840,,3359,,,0,,,,,
2013-05-05,6170,4652,2341,4724,,2370,3386,1967,,3265,,,0,,,,,
2013-05-06,6253,5593,3977,6945,,3728,2321,3103,,3579,,,0,,,,,
2013-05-07,6642,6323,4538,7608,,4012,2651,3268,,3806,,,0,,,,,
2013-05-08,6683,6428,4435,7657,,4103,2683,3212,,1937,,,0,,,,,
2013-05-09,4687,4467,3313,6136,,3084,1113,2158,,2960,,,0,,,,,
2013-05-10,5308,4941,3560,6231,,3154,1649,2398,,3223,,,0,,,,,
2013-05-11,2312,1406,1108,2153,,953,388,716,,1595,,,0,,,,,
2013-05-12,2608,1744,1110,2162,,1004,818,1020,,1608,,,0,,,,,
2013-05-13,2974,2678,1879,3305,,2130,467,1397,,2002,,,0,,,,,
2013-05-14,4946,4757,3437,6018,,3200,1598,2419,,2836,,,0,,,,,
2013-05-15,3962,3644,2404,4438,,2587,808,1844,,2311,,,0,,,,,
2013-05-16,4903,4641,3458,5895,,3255,1278,2271,,2973,,,0,,,,,
2013-05-17,5518,5089,4009,6008,,3135,1862,2331,,3147,,,0,,,,,
2013-05-18,5141,4167,2447,4340,,2165,3026,1686,,3213,,,0,,,,,
2013-05-19,3309,2771,1581,2910,,1384,2032,1133,,1884,,,0,,,,,
